reviews,seat_type,date,country,recommend
"""gave up being a full-service airline""",Economy Class,2023-10-17,United Kingdom,no
“I hate British Airways!”,Economy Class,2023-10-17,United States,no
"""2½ hours before the bags finally arrived"" ",Business Class,2023-10-16,United Kingdom,no
"""left on your own and nobody cares""",Economy Class,2023-10-14,United Kingdom,no
"""Club Europe is simply a joke""",Business Class,2023-10-14,United Kingdom,no
"""Very second rate shoddy airline""",Economy Class,2023-10-12,United Kingdom,no
"""some sort of medieval torture""",Business Class,2023-10-12,Australia,no
"""Never again BA"" ",Economy Class,2023-10-11,United Kingdom,no
"""BA Gatwick are not BA"" ",Economy Class,2023-10-11,United Kingdom,no
"""Boarding flight took an hour"" ",Economy Class,2023-10-10,United Kingdom,no
"""our luggage was soaking wet""",Economy Class,2023-10-08,United States,no
"""The worst airline I have ever flown""",Economy Class,2023-10-07,Australia,no
"""Excellent service levels""",First Class,2023-10-07,United Kingdom,yes
"""British Airways was absolutely shocking""",Business Class,2023-10-05,United Kingdom,no
"""service was mediocre at best""",Economy Class,2023-10-03,United Kingdom,no
"""BA standards continue to decline""",Business Class,2023-10-02,United Kingdom,no
"""won the race to the bottom"" ",Business Class,2023-10-02,United Kingdom,no
"""Not a reliable airline""",Economy Class,2023-10-02,United Kingdom,no
"""It is a national disgrace""",Business Class,2023-09-30,United Kingdom,no
"""The worst journey in my life""",Economy Class,2023-09-30,Italy,no
"""Very disappointed""",First Class,2023-09-28,United States,no
"""the service was shockingly bad""",Business Class,2023-09-28,United Kingdom,no
"""Never again will I fly BA""",Economy Class,2023-09-27,United Kingdom,no
"""never fly this awful airline again"" ",Business Class,2023-09-23,United States,no
"""I’ll never fly with them again""",Business Class,2023-09-22,United States,no
"""the worst of the worst""",Economy Class,2023-09-22,United Kingdom,no
"""everyone refused to help us"" ",Economy Class,2023-09-20,France,no
"""not a single feedback from British Airways""",Premium Economy,2023-09-20,Germany,no
"""never fly British Airways again""",Economy Class,2023-09-19,Switzerland,no
"""Club Europe doesn’t feel very premium""",Business Class,2023-09-18,United Kingdom,yes
"""the worst airline in the UK""",Economy Class,2023-09-16,United Kingdom,no
"""Worst BA experience""",Economy Class,2023-09-15,South Africa,no
"""the worst airline service""",Business Class,2023-09-13,Canada,no
"""service on board was impeccable""",Business Class,2023-09-11,United Kingdom,yes
"""a national disgrace""",Business Class,2023-09-10,United Kingdom,no
"""The worst service ever""",Economy Class,2023-09-09,Kuwait,no
"""Cannot recommend""",Economy Class,2023-09-06,Germany,no
"""BA is worse than a low cost carrier""",Economy Class,2023-09-04,United Kingdom,no
"""less than a premium experience""",Business Class,2023-09-04,Iceland,yes
"""good, but not spectacular""",Business Class,2023-09-04,Iceland,yes
"""Lies and misleading unprofessional service""",Premium Economy,2023-09-04,United Kingdom,no
"""avoid BA like the plague""",Business Class,2023-09-02,Australia,no
"""British Airways absolutely does not care""",Economy Class,2023-09-01,United Kingdom,no
"""utter abdication of responsibility""",Economy Class,2023-09-01,United States,no
"""express our displeasure and concerns""",Premium Economy,2023-08-31,United States,no
"""they are the worst in Europe""",Business Class,2023-08-30,United Kingdom,no
"""customer service being so horrible""",Economy Class,2023-08-30,Germany,no
